id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4761,1075,Mastercard,Credit,5089768442116305,07/2023,686,YES,2,$11200,09/2010,2010,No
5286,1075,Mastercard,Debit,5767339719294372,12/2021,669,NO,2,$26753,10/2014,2014,No
744,1711,Visa,Debit,4595831603224644,05/2023,689,NO,2,$17480,01/2020,2020,No
5559,1116,Mastercard,Debit,5341049613275152,09/2021,396,YES,2,$26546,11/2009,2009,No
4905,1116,Mastercard,Debit,5668831527649353,01/2021,356,YES,1,$23253,09/2017,2017,No
79,1116,Visa,Credit,4400056931148232,02/2021,497,YES,1,$16100,01/2005,2014,No
301,1116,Visa,Credit,4808554251869440,02/2021,921,YES,2,$8700,01/2012,2012,No
3115,1116,Mastercard,Debit,5224739362243611,01/2019,922,YES,1,$29333,05/2012,2012,No
3880,1752,Mastercard,Debit,5294178176133532,07/2024,265,YES,2,$9496,07/2009,2012,No
1766,192,Visa,Debit,4857799018106614,07/2021,930,YES,1,$25499,02/2020,2020,No
1767,192,Visa,Debit,4324062360619923,02/2020,358,YES,1,$18641,02/2020,2020,No
745,640,Visa,Debit,4852639114720724,05/2023,995,YES,1,$26019,01/2020,2020,No
1459,1679,Mastercard,Debit,5656383455895230,01/2021,547,YES,1,$25845,02/2020,2020,No
138,1094,Visa,Debit,4556928160477229,06/2023,64,YES,2,$2365,01/2007,2009,No
3755,1094,Mastercard,Debit,5515782790823587,06/2023,419,YES,2,$18684,07/2006,2017,No
1768,1094,Visa,Credit,4508388296516458,02/2021,364,NO,2,$7400,02/2020,2020,No
5924,1590,Mastercard,Debit,5548265564669334,12/2024,145,YES,2,$4147,12/2008,2016,No
6074,1660,Visa,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,$76,12/2012,2012,No
5923,1660,Discover,Credit,6726060094896113,01/2009,105,NO,1,$4700,12/2008,2014,No
4223,1660,Visa,Credit,4157109762296149,06/2021,433,YES,2,$5800,08/2007,2011,No
4455,1660,Mastercard,Debit,5231462717450524,03/2024,754,YES,2,$12082,08/2016,2016,No
3234,1660,Mastercard,Credit,5074836567307562,03/2023,741,NO,2,$6000,06/2002,2010,No
1005,1660,Visa,Debit,4986369179342271,11/2009,367,YES,1,$620,02/2002,2014,No
151,1747,Mastercard,Debit,5892013969159900,08/2022,879,YES,1,$14499,01/2008,2008,No
4198,1747,Mastercard,Debit,5179157151686144,07/2023,457,YES,2,$12332,08/2007,2009,No
4403,1747,Mastercard,Debit,5569640141329524,09/2024,904,YES,1,$18424,08/2013,2013,No
4120,1747,Visa,Credit,4708914311449293,07/2023,149,NO,1,$15400,08/2003,2008,No
4224,1747,Visa,Debit,4795724941278913,02/2022,136,YES,2,$14548,08/2007,2013,No
4895,1747,Mastercard,Credit,5300159511214994,12/2016,740,YES,2,$10100,09/2016,2016,No
1028,153,Discover,Credit,6580244636542196,04/2011,416,YES,1,$11200,02/2004,2008,No
5956,153,Mastercard,Debit,5032457975030967,10/2024,240,YES,2,$20291,12/2009,2011,No
107,153,Visa,Debit,4382324870900908,08/2018,852,YES,1,$32092,01/2006,2010,No
440,153,Mastercard,Debit,5456808094753905,02/2020,217,YES,1,$20463,01/2020,2020,No
746,429,Visa,Debit,4465362453388909,08/2022,738,YES,1,$15802,01/2020,2020,No
1769,429,Visa,Debit,4668447208616693,02/2020,314,NO,2,$4612,02/2020,2020,No
421,429,Discover,Credit,6377595394803324,07/2020,675,YES,2,$19900,01/2020,2020,No
974,511,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,$73,02/2000,2012,No
4707,511,Mastercard,Debit,5377858405611171,01/2024,24,YES,1,$11858,09/2009,2010,No
7,511,Mastercard,Debit,5585238056278288,03/2005,749,YES,1,$9664,01/1998,2011,No
2212,511,Mastercard,Debit,5355281784290567,06/2020,810,YES,1,$8367,03/2009,2009,No
1038,511,Visa,Credit,4150093118072730,06/2022,135,YES,2,$6100,02/2004,2009,No
1460,309,Mastercard,Debit,5979295728871785,02/2020,630,YES,3,$9944,02/2020,2020,No
747,309,Visa,Credit,4473643731469839,01/2020,771,YES,1,$7900,01/2020,2020,No
1770,309,Visa,Credit,4800116569994473,12/2020,201,YES,1,$5600,02/2020,2020,No
748,777,Visa,Debit,4832328468851061,08/2023,580,YES,1,$68400,01/2020,2020,No
441,777,Mastercard,Debit,5278075482033392,04/2023,437,YES,2,$77237,01/2020,2020,No
3679,1946,Visa,Debit,4869845530765333,08/2024,701,YES,2,$4488,07/2002,2015,No
5701,1946,Visa,Credit,4231526239204033,02/2020,499,YES,2,$12500,11/2014,2014,No
4510,1674,Mastercard,Debit,5813611925507601,12/2020,734,YES,2,$23432,09/2001,2008,No
2873,1674,Amex,Credit,366520954874839,05/2022,447,YES,2,$8800,05/2005,2011,No
1461,482,Mastercard,Credit,5392697458480962,02/2020,886,YES,2,$12100,02/2020,2020,No
442,877,Mastercard,Debit,5048151330736425,02/2020,931,YES,1,$9708,01/2020,2020,No
3877,877,Amex,Credit,371643368691556,11/2021,683,YES,2,$12000,07/2009,2011,No
2296,877,Mastercard,Debit,5700734711260263,11/2023,230,YES,1,$11973,03/2012,2012,No
5048,128,Mastercard,Debit,5389442391430673,02/2022,658,YES,2,$13601,10/2006,2014,No
1462,128,Mastercard,Credit,5079116875907423,01/2024,849,YES,2,$7800,02/2020,2020,No
4269,775,Visa,Debit,4390425683290569,10/2023,790,YES,2,$17816,08/2008,2016,No
5188,1536,Mastercard,Debit,5217568630125704,03/2021,625,NO,2,$17707,10/2010,2010,No
2874,1536,Amex,Credit,397856635669220,11/2020,2,YES,1,$9500,05/2005,2009,No
3041,140,Mastercard,Debit,5529182104663869,01/2022,182,YES,1,$19110,05/2010,2011,No
5312,140,Mastercard,Debit,5489017664251289,08/2023,196,YES,1,$13428,10/2016,2016,No
4150,140,Mastercard,Debit,5793675314684781,06/2022,43,YES,1,$24608,08/2005,2009,No
152,140,Mastercard,Debit,5845373196638993,09/2022,111,YES,1,$13441,01/2008,2011,No
443,1884,Mastercard,Debit (Prepaid),5750288075891808,02/2020,788,YES,2,$74,01/2020,2020,No
3377,1874,Mastercard,Debit,5429789020188285,10/2012,674,YES,1,$17872,06/2008,2008,No
5789,1874,Mastercard,Credit,5301114615829913,09/2022,425,YES,1,$12900,12/2003,2010,No
2106,1874,Mastercard,Debit,5571104183564029,05/2024,52,YES,2,$25264,03/2006,2020,No
2078,1874,Mastercard,Debit,5401948301255038,12/2022,920,YES,2,$20634,03/2005,2007,No
5866,1310,Visa,Credit,4295364044956974,04/2007,656,YES,2,$12200,12/2006,2010,No
173,1310,Visa,Credit,4737484014371342,02/2010,221,YES,2,$5500,01/2008,2008,No
1771,1689,Visa,Credit,4509365132510769,03/2020,281,NO,2,$6600,02/2020,2020,No
6132,1689,Mastercard,Debit,5068255294282305,11/2020,890,YES,1,$25815,12/2017,2017,No
327,379,Amex,Credit,354813103334804,06/2021,527,YES,2,$8400,01/2014,2014,No
2019,379,Mastercard,Debit,5910929635230868,02/2020,525,YES,1,$21628,03/2001,2008,No
3881,379,Mastercard,Debit,5400182448188961,10/2021,412,YES,1,$24232,07/2009,2009,No
1166,34,Mastercard,Debit,5039048842448184,11/2023,339,YES,2,$10775,02/2009,2010,No
3342,34,Mastercard,Debit (Prepaid),5672012369002302,02/2020,598,YES,2,$105,06/2007,2013,No
5622,822,Visa,Credit,4336733185475861,01/2021,221,NO,2,$7100,11/2010,2010,No
5424,822,Mastercard,Debit,5985582173054292,07/2024,951,YES,1,$29351,11/2005,2007,No
2558,822,Mastercard,Debit,5281056728185174,03/2020,835,YES,2,$15125,04/2008,2012,No
5385,822,Mastercard,Credit,5615660494634705,11/2021,865,YES,2,$8000,11/2003,2008,No
5596,822,Mastercard,Debit (Prepaid),5314878099448745,05/2011,994,YES,1,$83,11/2010,2010,No
3991,1499,Amex,Credit,311095486859536,01/2024,536,YES,2,$23700,07/2012,2012,No
6126,1780,Visa,Credit,4624747592911129,02/2024,986,YES,2,$700,12/2016,2016,No
3756,1806,Mastercard,Debit,5595562388674401,07/2024,594,YES,2,$7488,07/2006,2016,No
971,811,Visa,Credit,4171022488649333,01/2002,225,NO,1,$24900,02/1999,2010,No
2079,811,Mastercard,Debit,5246337038556761,06/2021,638,YES,2,$30971,03/2005,2020,No
387,811,Amex,Credit,399966116933253,01/2024,343,YES,1,$24400,01/2020,2020,No
444,811,Mastercard,Debit,5064137987234665,02/2020,599,YES,2,$53549,01/2020,2020,No
5277,811,Visa,Debit,4905540969337037,09/2018,573,YES,1,$53036,10/2013,2013,No
4358,811,Mastercard,Debit,5703849820939467,12/2024,300,YES,1,$35750,08/2011,2011,No
2318,811,Visa,Debit,4055403312631050,07/2021,902,YES,1,$33375,03/2013,2013,No
6019,1844,Visa,Debit (Prepaid),4587476056357151,07/2023,858,YES,2,$22,12/2010,2010,No
4421,1844,Discover,Credit,6521426249819196,11/2020,608,YES,1,$13100,08/2014,2014,No
3702,1844,Visa,Debit,4199712815274632,10/2024,440,YES,1,$16516,07/2003,2011,No
2854,1844,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,$15700,05/2004,2011,No
4114,1844,Mastercard,Debit,5214643602729093,05/2024,474,YES,1,$21058,08/2003,2007,No
28,1852,Visa,Debit,4013876625955765,10/2023,543,YES,2,$36425,01/2002,2004,No
6127,1852,Visa,Debit (Prepaid),4966050979388902,03/2021,585,YES,2,$91,12/2016,2016,No
2477,1852,Mastercard,Credit,5247576622089394,09/2021,379,YES,1,$13400,04/2005,2014,No
2632,1852,Mastercard,Credit,5911319900289832,04/2021,37,YES,2,$21600,04/2010,2010,No
1463,1231,Mastercard,Debit,5058769177189803,02/2020,12,NO,1,$9090,02/2020,2020,No
5679,970,Visa,Debit,4682877628388639,02/2023,846,NO,1,$25942,11/2012,2012,No
1012,970,Mastercard,Credit,5882842508952744,07/2019,614,YES,2,$10700,02/2003,2013,No
1464,970,Mastercard,Credit,5637149260486793,07/2022,630,YES,2,$4900,02/2020,2020,No
1465,381,Mastercard,Credit,5115700923413241,04/2022,587,NO,1,$18100,02/2020,2020,No
388,1134,Amex,Credit,324640473359364,03/2024,659,YES,2,$7200,01/2020,2020,No
3708,1296,Mastercard,Debit,5033428838471726,02/2020,546,YES,2,$22660,07/2004,2007,No
3087,1296,Discover,Credit,6969946254132652,12/2022,588,YES,1,$19800,05/2011,2011,No
67,1296,Mastercard,Credit,5181226307106931,11/2024,820,YES,2,$15500,01/2005,2014,No
80,1296,Visa,Debit (Prepaid),4310689470082080,06/2023,458,YES,1,$13,01/2005,2008,No
3665,1296,Mastercard,Debit,5051066154001741,06/2021,526,YES,2,$4317,07/2001,2011,No
2014,1880,Mastercard,Debit,5456915066505066,12/2021,553,NO,1,$14719,03/2000,2008,No
4906,1880,Mastercard,Debit,5132664334960880,05/2021,593,YES,1,$9532,09/2017,2017,No
3757,1880,Mastercard,Credit,5752873844240568,03/2020,486,YES,1,$10900,07/2006,2014,No
5365,322,Mastercard,Credit,5494228198326752,09/2024,428,YES,2,$6200,11/2001,2012,No
5425,322,Mastercard,Debit,5789639625525459,12/2012,43,YES,2,$2903,11/2005,2011,No
